pdb_filename,rmsd_init,score_init,rmsd_relax,score_relax
minimized_fast_CST_5_5isv_A_m10_a23.75_s1_2_23.75_SC.pdb,,,,-3.07944
minimized_fast_CST_4_5k18_B_m10_a17.50_s1_2_17.50_SC.pdb,,,,-3.0467239473684216
minimized_fast_CST_3_2x7b_A_m10_a30.00_s1_2_30.00_SC.pdb,,,,-3.004285217391304
minimized_fast_CST_4_4kvm_E_m10_a17.50_s1_2_17.50_SC.pdb,,,,-2.2311199999999998
minimized_fast_CST_1_4u9v_B_m10_a11.25_s1_2_11.25_SC.pdb,,,,-2.6019277777777776
minimized_fast_CST_2_4u9v_B_m10_a30.00_s1_2_30.00_SC.pdb,,,,-2.615918867924529
minimized_fast_CST_3_4pv6_A_m10_a30.00_s1_1_0.00_SC.pdb,,,,-2.9031788
minimized_fast_CST_4_5k18_B_m10_a30.00_s1_1_0.00_SC.pdb,,,,-2.8091156410256413
minimized_fast_CST_1_5wjd_A_m10_a30.00_s1_1_0.00_SC.pdb,,,,-2.6429515217391306
minimized_fast_CST_5_5wjd_A_m10_a5.00_s1_2_5.00_SC.pdb,,,,-2.580574081632653
minimized_fast_CST_4_5icv_A_m10_a11.25_s1_2_11.25_SC.pdb,,,,-2.8697205882352943
minimized_fast_CST_4_2x7b_A_m10_a30.00_s1_1_0.00_SC.pdb,,,,-2.7717539130434785
minimized_fast_CST_4_5hh0_A_m10_a23.75_s1_2_23.75_SC.pdb,,,,-3.061207647058824
minimized_fast_CST_1_5isv_A_m10_a30.00_s1_2_30.00_SC.pdb,,,,-2.819735
minimized_fast_CST_2_5isv_A_m10_a11.25_s1_2_11.25_SC.pdb,,,,-3.2223400000000004
minimized_fast_CST_5_4pv6_A_m10_a5.00_s1_2_5.00_SC.pdb,,,,-3.182512608695652
minimized_fast_CST_3_5icv_A_m10_a5.00_s1_2_5.00_SC.pdb,,,,-2.808099473684211
minimized_fast_CST_3_5icv_A_m10_a23.75_s1_2_23.75_SC.pdb,,,,-2.8715405882352947
minimized_fast_CST_3_5hh0_A_m10_a11.25_s1_2_11.25_SC.pdb,,,,-2.9054563157894733
minimized_fast_CST_3_5wjd_A_m10_a17.50_s1_2_17.50_SC.pdb,,,,-2.5698148936170213
minimized_fast_CST_2_5hh0_A_m10_a5.00_s1_2_5.00_SC.pdb,,,,-2.947555789473684
minimized_fast_CST_5_5icv_A_m10_a30.00_s1_1_0.00_SC.pdb,,,,-3.0407352631578948
minimized_fast_CST_2_2cns_A_m10_a5.00_s1_2_5.00_SC.pdb,,,,-3.0572344444444446
minimized_fast_CST_5_5hh0_A_m10_a30.00_s1_1_0.00_SC.pdb,,,,-2.875092631578948
minimized_fast_CST_5_2cns_A_m10_a17.50_s1_2_17.50_SC.pdb,,,,-3.32609
minimized_fast_CST_3_5wjd_A_m10_a30.00_s1_2_30.00_SC.pdb,,,,-2.5451340909090914
minimized_fast_CST_3_2cns_A_m10_a30.00_s1_1_0.00_SC.pdb,,,,-3.2925284210526318
minimized_fast_CST_5_2cns_A_m10_a30.00_s1_2_30.00_SC.pdb,,,,-2.8435159999999997
minimized_fast_CST_1_5isv_A_m10_a17.50_s1_2_17.50_SC.pdb,,,,-2.9280172222222225
minimized_fast_CST_3_4pv6_A_m10_a11.25_s1_2_11.25_SC.pdb,,,,-2.7172148
minimized_fast_CST_4_3tfy_C_m10_a11.25_s1_2_11.25_SC.pdb,,,,-3.7743393333333333
minimized_fast_CST_5_5isv_A_m10_a30.00_s1_1_0.00_SC.pdb,,,,-3.3234640000000004
minimized_fast_CST_3_5k18_B_m10_a5.00_s1_2_5.00_SC.pdb,,,,-2.6502194871794873
minimized_fast_CST_1_2cns_A_m10_a23.75_s1_2_23.75_SC.pdb,,,,-3.326818125
minimized_fast_CST_3_4kvm_E_m10_a5.00_s1_2_5.00_SC.pdb,,,,-2.3676609090909095
minimized_fast_CST_4_4pv6_A_m10_a23.75_s1_2_23.75_SC.pdb,,,,-2.919176086956522
minimized_fast_CST_4_4kvm_E_m10_a30.00_s1_2_30.00_SC.pdb,,,,-1.7747885
minimized_fast_CST_3_3tfy_C_m10_a23.75_s1_2_23.75_SC.pdb,,,,-3.429328666666667
minimized_fast_CST_3_2x7b_A_m10_a17.50_s1_2_17.50_SC.pdb,,,,-2.733106
minimized_fast_CST_4_5k18_B_m10_a30.00_s1_2_30.00_SC.pdb,,,,-2.9578335000000004
minimized_fast_CST_2_4u9v_B_m10_a17.50_s1_2_17.50_SC.pdb,,,,-2.7884661818181824
minimized_fast_CST_1_4u9v_B_m10_a30.00_s1_2_30.00_SC.pdb,,,,-2.3484081132075474
minimized_fast_CST_3_2x7b_A_m10_a11.25_s1_2_11.25_SC.pdb,,,,-2.956055416666667
minimized_fast_CST_1_4kvm_E_m10_a5.00_s1_2_5.00_SC.pdb,,,,-2.359075
minimized_fast_CST_2_4u9v_B_m10_a11.25_s1_2_11.25_SC.pdb,,,,-2.699198113207547
minimized_fast_CST_3_5isv_A_m10_a30.00_s1_1_0.00_SC.pdb,,,,-3.2245172222222225
minimized_fast_CST_4_5icv_A_m10_a30.00_s1_2_30.00_SC.pdb,,,,-2.7723983333333333
minimized_fast_CST_5_4u9v_B_m10_a5.00_s1_2_5.00_SC.pdb,,,,-2.5755987272727277
minimized_fast_CST_1_5k18_B_m10_a5.00_s1_2_5.00_SC.pdb,,,,-2.9368524999999996
minimized_fast_CST_1_5isv_A_m10_a11.25_s1_2_11.25_SC.pdb,,,,-3.2374726315789473
minimized_fast_CST_5_4u9v_B_m10_a23.75_s1_2_23.75_SC.pdb,,,,-2.337847058823529
minimized_fast_CST_2_5isv_A_m10_a30.00_s1_2_30.00_SC.pdb,,,,-2.7821731578947375
minimized_fast_CST_3_4pv6_A_m10_a17.50_s1_2_17.50_SC.pdb,,,,-2.9201440909090906
minimized_fast_CST_4_3tfy_C_m10_a17.50_s1_2_17.50_SC.pdb,,,,-3.8002535294117648
minimized_fast_CST_4_2x7b_A_m10_a23.75_s1_2_23.75_SC.pdb,,,,-2.65521625
minimized_fast_CST_5_5isv_A_m10_a5.00_s1_2_5.00_SC.pdb,,,,-3.27903
minimized_fast_CST_3_5hh0_A_m10_a30.00_s1_2_30.00_SC.pdb,,,,-3.165325882352941
minimized_fast_CST_5_2cns_A_m10_a30.00_s1_1_0.00_SC.pdb,,,,-3.304174444444444
minimized_fast_CST_3_5hh0_A_m10_a17.50_s1_2_17.50_SC.pdb,,,,-2.9193047368421055
minimized_fast_CST_3_5wjd_A_m10_a11.25_s1_2_11.25_SC.pdb,,,,-2.6091897826086954
minimized_fast_CST_3_5hh0_A_m10_a30.00_s1_1_0.00_SC.pdb,,,,-2.911728333333333
minimized_fast_CST_5_2cns_A_m10_a11.25_s1_2_11.25_SC.pdb,,,,-3.2216424999999997
minimized_fast_CST_3_5icv_A_m10_a30.00_s1_1_0.00_SC.pdb,,,,-3.0460210526315787
